Username,Comment
@arslansattar351,Proper three and three throw fighter you go win it on win it for yourself by yourself for you
@arslansattar351,#three proper you go to a bater like this ruin the stemps
@arslansattar351,Gren pitches you completely go stemp a stemps variety with variety and a graph taple paper for player so he must with mind and drink break he go on till 50 with 5 spel apreciated
@arslansattar351,"Bounce and ful todes only alowed a clay pitches , by twist muscules at srilankans were bouncy tracks"
@arslansattar351,This is what a variation of 6 bowlers graph
@arslansattar351,"...
!
..."
@arslansattar351,"...
 !
..."
@arslansattar351,Use your left hander right hander both side with captain active field adjust a slobe with the scale
@arslansattar351,Go with the best
@arslansattar351,Exercise walk on and then no fields energy maters
@arslansattar351,Chasing 328 and 156 at 1 australia won the game
@arslansattar351,Restrict as you exercised for your practices . That s it
@arslansattar351,#rauf10-82 you should with junaid shah that he can minus out the things
@arslansattar351,Restrict the yorker plans australians
@arslansattar351,1-1 keep going 10-10 and at your practice you bounce
@arslansattar351,#Tough and exercised musles
@arslansattar351,And bated and reverse presed the pakistanies top ordered
@arslansattar351,At trination newzelands did the same yorked and cleaned the stemps
@arslansattar351,Left is become nothing
@arslansattar351,# jadega bat top of stemps practice yorkers and acurates til 1-50 last over with five and every ten over drinks breakd
@arslansattar351,n you breath bowl ğŸ¥£ r stemps and cleaned all over.
@arslansattar351,#moniter the breath levels as .umer gul change the strike with sense change the bowls with strenght
@arslansattar351,Must be sharp your s
@arslansattar351,Only 1 run wiket with over
@arslansattar351,All 11 must click till 11 a single handed with six and umpire in a play put on
@arslansattar351,Out stroke indian even not alowing a single run at 171 recence
@arslansattar351,Must be the stemps kiler of the day with mind clear that it a chalenge and is sumerized with sun dried tomato conditions
@arslansattar351,At a line on the top of the line stemp with your acurate york practice must know a change of pace with acurates
@arslansattar351,Not alow a lot of scores and you can # pak
@AttaRehman051,"Jadeja matched the vibe of this show really well, hats off."
@krishnashah5831,â¤
@pankajchauhan3675,Jaddu sir moj avi gai...from bapu to paaji ğŸ¤™ğŸ¤™ğŸ¤™
@rajryder666,"Bumrah shami both are exceptional reverse swing bowlers. Without test cricket, ull never learn this art. Paks problem is that its bowlers dont take test cricket seriously."
@waqasahmed569,"Jadeja has a great mind ... Cricketing mind ..
Love you brother 
Love from Pakistan ğŸ‡µğŸ‡°"
@waqasahmed569,"Jadeja has a great mind ... Cricketing mind ..
Love you brother 
Love from Pakistan ğŸ‡µğŸ‡°"
@RAZAJAMAL-d7w,18:53 WASIM PAKISTAN KE KHILAF SOUTH AFRICA KE A TEAM THE WASIM SIR
@mazharsaleem6509,"https://youtu.be/gKQ3qSgWi6o?si=iBOnswNYkkVJKsaU
INDvPAK pre match"
@Rohit-zi4ej,"As far as that question to Waqar Younis is concerned, regarding his community - Theres no difference between Jat and Jutt, thats one same community. There are Hindu, muslim, sikh jats in Asia. In Hindi we prounounce the name as â€œJaatâ€ while in Punjabi we pronounce that as â€œJattâ€."
@atullokhande9736,This is  very good show ...
@MohammedBLUSHi,"Ajay Jadeja, U Beauty â¤"
@SyedTopu-gm3py,"Day 1 i picked pakistan ,they didnt win 
Day 2 our boysğŸ‡§ğŸ‡© , they lost the game 
Day 3 i supported afgans , they lost too
I guess ,,  Now its all about "" yakeen ki jeet ,like he said """""
@sahilkumar-ok9hk,Your channel is better then sports tak
@mahendranalande4399,afghan ki champi hui acche se ye jaruri tha jyada udd rahe the thoda
@nityanutansports,Amazing.... the way Ajay Jadeja dealt with the Jamnagar prince question. Such a humble personality and down to earth. Respect and love Ajay Bhai â¤
@partth313,Is this full show or it is cut from between
@pcaacharyaa,"Aare wo 96 ka clip lagana ğŸ˜…
Next level trolling by AJ"
@nav-ql7tg,Loved your show. Wasim bhai aap kamaal ho. Ajay Jadeja is another intelligent guy in panel
@pelicancomet4427,"absolutely delighted to see 4 suave clean shaven men on a Pakistani TV Show!. The class, sophistication and non-pretention it offers is refreshing and exciting!"
@sandythakur39614,Full of fun and positivity and they are correct in this time of social media we have become less forgiving . Great work team .ğŸ‰
@CuriosityLearning-op8of,No analysis... No breakdown of the game.... Just pure Bakchodi.... I don't even think they watched the game fully... Watched some highlights may be
@animeshbajpai3838,True Sir Jadeja is here in the show...Vicky paaji 1996 ki yaad hai...yoker par shot kaise maarte hain Jadeja paaji se shuruwat ko gayi thi...
@Pradip-o6v,Sar Pujara kyon chale gaye aapka DP world chhodkar
@pswcricwiz,"Please call Ajay Jadeja - ""Jamsaheb"".
It is his title now."
@sahiljuneja7523,Legends comes together â¤
@HarvinderSingh-yz3ze,Fabulous showâ¤
@mzmzmm7879,Ajay...thoda kam baath karo. You are taking all the limelight. Please give Nikhil and waqar chance to talk
@dashingdude1672,Why PCB does not make Wasim Akram head of first class cricket? Just give him a chance
@yt_bharat,ğŸ˜…ğŸ˜…zabardast show hai
@sakuntalabehera9420,Legends â¤ğŸ‡®ğŸ‡³
@srncet,Pavillion part 2 bahut zabardast ... Shoiab malik bhi chahiye
@malikzaighamaminbhatti331,What a show best people to the discuss about cricket â¤
@iitjee6282,Love Ajay jadeja tbh. The energy he brings on this table is just mindblowing
@basharatmughal1216,I love the show I was waiting for this show because I use to watch #thepavilion
@Cricmatic-bh5kt,Sir plzz introduction Karo harbar show ke start me sabka
@jammy_deep,Jadeja on fire ğŸ˜
@yasminanwer9358,"#Asktheroom# Fakhr and Team, pls prize do rakhein. Ek indian fan ke liye aur doosra Pakistani fan ke liye, Indian Fan ke liye winner ka selection Wasim aur Waqar bhai karein aur Pakistani winner ka selection Ajay aur Chopra bhai karein."
@samarthchohan106,Afghanistan is always improving but never become actually good
@utpalsrkr,This is Best show bhai. Koi faltu ki badh nehi.
@harneetsahni4551,A Complete Show â¤â¤â¤â¤
@ADILKHAN-pw1xx,To Wasim and waqar sir plz do something for our national team Adil from Pakistan
@marufhossainraj5835,favourite cricket show â¤ from Bangladesh
@sandeepkaw1369,"I love this Show one of the best show especially i listen my favourite  Sir, Waseem Akram. The show always talks about cricket nothing else"
@jagir1987,Wasim Akram told by makers to not say sats sri kal and namaskar
@eajazahmed948,Get Shoaib n Misbah back
@ishaqkhann5265,Jaddu is a very philossopical and respectful guy.
@BalkrishnaDusane-q3t,Watching your show has a lot of experiences and old memories get fresh
@JaswindersinghBrar-eb6jg,Pakistan problem by later series no Yung player seniors individual runs k liye khel ta hai
@haroonisrar6390,"Most enjoyable program, Wasim Waqar and now great mind Jadija. What a panel with the best host Fakhar e Alam. A treat to watch."
@aiReacher,"#AskTheRoom

I'm loving the show, sir. My question is to everyone. In the last show, you were discussing the ODI format and how to make it more interesting between 10-40 overs.
I have one silly suggestion: I'm ready to get scolded by Wasim bhai for this ğŸ˜†.
My suggestion is that, just like in kabaddi thereâ€™s a 'Do or Die' raid, where if the last two raids were empty, the next raid must score points, otherwise, the player is out.
Similarly, between 10-40 overs, we could make hitting a boundary mandatory after every two overs. If a boundary isnâ€™t hit, 4 runs should be deducted from the batting teamâ€™s total.

Pros

-- More intent in batting
--More exciting
--More opportunities for bowlers to take wickets as batters will take risks, making the game more balanced
--Refreshing format

Cons

--The fielding team might take longer to adjust their field placements due to this rule.

-- Could be too many calculations

What do you think?
From ğŸ‡®ğŸ‡³ 

Please take my question ğŸ™ @team"
@usmanspeaks999,Jadeja gâ¤â¤â¤â¤â¤
@s.v.desouza8861,"The problem with this show is that after the tournament is over, you begin to miss it badly."
@ChauhanHaryana,Ajay Jadeja sir Welcome â¤
@AftabAli-kj8vh,best analysis champions trophy ğŸ† these legends
@ShortsByHaaziq,ONE IS COMPETING OTHER IS SURRENDER THATS D DIFFRENCE PAK DOESNT FIGHT OUT THR
@Vanity248,"Itâ€™s better to change fielding restrictions outside 30 yard circle, every rule canâ€™t be made from batters pov."
@shiv_shankar8723,This is the best expert panel ğŸ‰ğŸ‰ğŸ‰ğŸ‰
@raghukulsh,Lovely lovely show as always with fakhar alam
@subrataroy4938,Wasim said Afghanistan clearly favorite b4 match. But proved wrong.
@GurpreetSingh-mu3kx,"Love see you all together, South Asia/sub continent on a single platform. Wishing for Bangla, Pakistani, Indian and Afghanistani veteran players discussing for cricket, together.
 Khel hume jodta haiâ¤â¤"
@suhailstudio143,sharam karo app ko Ajay sir bol rahayia hai Baqi team appki walima aayia hai khali Baber hai app ki team mai sharam karo
@Saraikinaat871,yar yeh panalist ..bht acha combination.... love them allll....
@cajidcruz9479,I love this show â¤
@Pavvy13414,Great show
@Msofficial77,Jadeja ki panjabi â¤â¤â¤â¤â¤
@KrishanYadav-u6x,Jadeja joining the panel makes it elite..ğŸ˜Š
@nitinhugar9552,What a beautiful answer by jadeja regarding his royalty ğŸ˜Šâ¤
@vicmalik,Wish the host didnâ€™t speak as muchâ€¦â€¦ he talks too much gives too much contextâ€¦.wish he was brief and drew more from guests..
@741980abhi,Ajay jadeja drink break jibe was soft drink cap.
@shyamrk,Wasim bhai.. One of my favorite cricketer ğŸ‰
@Shubhxm.18_,"Real Og's know how knowledgeable ajay jadeja is about cricket...Those Extra innings T20 days with gaurav kapoor,ajay jadeja,sunil gavaskar and Navjot singh sidhu is still in my memory"
@garyparmar4061,Love Jadeja in this show. So good
@pavansharma562,"I have to skip matches due to work,  but I make sure I watch this show to make good about the loss.. such is the level Fakhar and team have achieved , alongwith gr8 choices of Panelists especially Wasim bhai permanent member which is ur highlight. Waqar bhai adds the Tadka.. 
AjaySinhji Khamma Jaamsaheb! ğŸ™ğŸ»ğŸ™ğŸ» He is recently the crown king of his lineage of Jadeja kings. Respect the King !ğŸ‘‘ Nikhil bhai is spot on.
Overall, show just scaling new Everest every year.. Love u all.. ğŸ‡®ğŸ‡³ğŸ‡µğŸ‡°â¤"
@jashanjotmaan,Best cricket show until nowadays
@HeyyyyyyPw,ajay jadeja is a fantastic personality â¤
@Shanti.Medicare-sd8zf,"It is a very good show, so comedy is also important, only then it is fun.

ï¿¼"
@harryrichard61,Dear panel ...you should appoint Ajay Jadeja as Pak mentor or coach to get the team on the top of the ranking..am not telling that pak ex players don't have the talent they do have immense talent but for players Ghar ki mugie Dal barabar
@lovesharma7596,most handsome man of 60 years all over the worldâ¤â¤
@wavologics,"DPWorld, please send me a ball signed by Fakhr-e-Alam"
@Manoeuvrey,Great show great panel â¤â¤
@harshchaturvedi4832,Lovely show â¤
@accountros1,I just love the intros of Wasim every episode
@Satveer._Sran,Jadeja sir Brilliant â¤ï¸â¤ï¸ğŸ‡®ğŸ‡³ğŸ‡®ğŸ‡³
@yogaeshkvyas9662,Host is very good - i follow the channel wherever he goes
@HammadAwan-d7g,"Tagdi pitch thi Africa, AUS Type !!!!!!
Afghanistan keliye bahut tough tha esi wicket par !"
@Chauhan-k7p,"This channel is going on to full popularity,,,due to Indian â¤"
@HammadAwan-d7g,Ajay Jadeja brilliant but Nikhil should be replaced
@hbt253,Ajay and Nikhil ke sath Azharuddin ko bula lete to wo Fixer wali kahani taji ho jati!!!ğŸ˜¬ğŸ˜¬ğŸ˜¬ğŸ˜¬
@JadejaJadeja-l7y,Jadeja ...wasim bhai Best show
@kinglucifer4579,Best cricket talking show.
@sandytech2215,"Best show, love to watch. All four are best"
@kuldeepsingh211,25 over innings will become a two T20 game. What's the point in that.
@MohammadKhan-kf5uo,Love Jadeja humor
@minnatsheikh2794,This is the best cricket show
@prashantrangale3741,Good anylesis....
@noorshaikh7987,Jadeja Sir Hve Nice Knowledge Of Cricket nd Communication
@VikashKumar-vx1jb,Ajay jadeja sir dil se Rich hai â¤â¤
@TheNeelkanth93,Bhai ye show live kha pr aata hai
@Advaita007,Jadeja's answers are stupid
@unitedec4806,Pls stop talking over each other and looks very irritating ..let one make his point fully otherwise it keep audience guessing on point...
@PradipThing-zv8uj,Wasim akram â¤â¤
@kablekrishan1,1996 wc Jadeja vs wakarâ¤
@kapilchanwariya1716,Best sports show across both sides of border
@SaucyDelightsMTN,1:04:46 - Scared the hell out of me. Mic sy dur kr gala saaf krlete jo b bhai thay.
@udit410,wasim sir is so fit for 60s
@ashwinikumar-gx2wm,41:48 we live in democracy they ğŸ˜…ğŸ˜…
@hrits420,Jaddu is way too good knowledgeable
@ImranKhan92,42:18 absolutely agreed with ajay sirğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯
@udit410,jadeja sir is right babar is unecessarily pressurised
@VioletpaulVioly,"From ASports  to Sports central, pujji, jaddu, Chopra, king of swing and master of reverse Mr wakar. Coming of age great to c such stalwarts..."
@arjunking5756,yeh sab k baate sunke lagta cricket sports kam paise kamane ka zariya jada ho geya hai t-20 ne cricket ka beragark kar diya hai batting bowling fielding sab bass t-20 sab kuch ho gayi hai fast cricket
@INSHANIYAT786.,7:35 Jo bol rahe hai jadeja sir ko samajh main nahin ati punjabi.
@HassanZamir00,Very good show
@sudhanshukumar4557,I believe one-day cricket is way interesting itself. Why we need to do silly things...?
@hassanyousaf3660,"Never imagined that Ajay Jadega is such dynamic exuberant person 
Incredible panel"
@arjunking5756,Ajay jadeja one of the dashing cricketer in the 1990s chaa gaye guru ğŸ‘
@saroshanwar3719,"Afghan game mien poora pakistanism chuupa tha. Kharab bowling, bakwas batting aur batien badi badi.."
@stealthclothingco7857,Great banter love it !!!
@LatzViz,Since 1996 whenever Ajay and Waqar are in same place /match ...excitement and entertainment guaranteed
@syedshujaathussain6006,"Aslamo alaikum.  If you care about reading comments, I think day odi should be 70% of any series or tournament with red ball and old rules. And add to flavour day and night 30%. So you get the real flavour and flair of the game, to me."
@armindersingh2993,One of the best cricket show in cricket history
@eddikhan72,"8:32 Mr Fixer Waseem Akram, can you please shed some light on the report of Justice Qayyum's  which censured you with monetary fine and recommended to limit your involvement in game? Are you scared that Internet and social media has empowered a common man to criticise the players?  Stop behaving like primate."
@Sidhu30001,Jedo aap Sare punjabi bolde ho bahut vadia legde ho sir ji
@paras1658,"No need to introduce guests after every break else fantastic coverage as always much love
 I always enjoy legend wasim akram's  humour"
@AnilSingh-gp1mb,This show is one of the best love from ğŸ´ó §ó ¢ó ¥ó ®ó §ó ¿ ğŸ‡®ğŸ‡³
@vanshikasharma7354,Punjabi AA gye Oye â¤
@TahirMohamed-ed9lc,Please all of them can speak proper English why they don't speak English I can't understand I want to watch but I'm lost
@charchitacharya9477,Moin khan ke bad agla banda Ajay jadeja achhe lage hain is pannel ke sath
@ShaheenAdil-t5c,"Donâ€™t you think Sajid Khan deserved a spot? No oneâ€™s even talking about him! Heâ€™s a good spinner, a decent attacking tail-ender, and has an aggressive attitude. But I know Wasim Bhai wonâ€™t like this question. after all, Sajid khan isnâ€™t in the squad, just like his favorite Dhani! ğŸ˜ #ASKTHEROOM"
@aham-mumukshu-asmi,"Lol Wasim is not cricket royalty, Jadeja is the cricket Royalty ğŸ”¥ğŸ”¥"
@sunnytara6988,"Watch all your Videos and Love it , My Fav Childhood Hero Jadeja gave this Show an extra Reason to watch â¤ I became a great Fielder in my Team just by Watching Jadeja & Robin Singh. 

Fakhar e Alam is the Best Host ğŸ‘Œ"
@PkDaau,Fakre à¤†à¤²à¤® à¤œà¥ˆà¤¸à¥‡ à¤à¤‚à¤•à¤° à¤‡à¤‚à¤¡à¤¿à¤¯à¤¾ à¤®à¥‡à¤‚ à¤•à¤¹à¤¾à¤‚ à¤šà¤²à¥‡ à¤—à¤
@PkDaau,Live kase dekhe kis channel pr dekhe
@IrfanButt-o4y,Pleasure to see Ajay.
@IrfanButt-o4y,Really enjoyed this discussion. Cheers
@alamdarzia2691,46:00 Life lesson worth listening by Fakhr-e-Alam. Truly inspirational!
@mmahmed619,couldnt agree more with A. Jadeja about common sense and its lacking especially in Pk cricket
@shantatb6158,"Rashid 59/0, Noor 65/1, Nabi 51/2 in 30 overs 170/3 SA played Afghanistan spinners quite well in the middle overs and gained upper hand to post 316 and defended it well."
@Ahio2905,Kaun kaun chahta hai ki rohit sharma pak ke against century karein ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰
@SUKHBIRSINGH-qh3kj,"Really good talk show with legends, well appreciated ğŸ‘ŒğŸ‘Œ"
@saadkhan6560,Ajay jadeja looks 70+
@globalcomparisons1973,where is the pavillion bruv
@mohnishdubey5,live knha broadcast  hot hai
@hasanzia4938,"Why donâ€™t you have real videos , showing still pictures of your analysis? ğŸ˜Š"
@raushanjha2845,TRUE SAID JADEJA SIR MOST OF PAKISTANI HAVE NO COMMON SENSE AND IN GAME ALSO THEY DONT HAVE GAME SENSE LIKE INDIAN PLAYER HAVE THIS IS ALSO ONE OF MAJOR DIFFERENCE
@manindermahal4042,Punjabis on top
@ojnjti,Hands down the best cricket show for people of Indian subcontinent
@apoorvpurohit9182,"Jadeja ke aate hi ekdum light ğŸ’¡ si aa gayi , dekhne ki icha zyada hoti h ab"
@arslansattar351,Remain happened through out can hapen as before :-)
@arslansattar351,Wins are new +2 india+2 and africa+2
@arslansattar351,Will play with this signed ball is England vs australia
@arslansattar351,Losing stemps early #afghan los for fans
@arslansattar351,#
@arslansattar351,At 6.4 with double energy and you misread situation
@arslansattar351,#Here diference 78-4 and 278-4
@arslansattar351,#Situte the game make the game
@Madjamy,In which channel this show is coming live?
@arslansattar351,Unnervous must go .
@AndynMahi,Hasna mana hain and this channel i enjoy the most . Tomorrow is the big match coming
@SobanJaved-p9o,enjoying the punjabi
@arslansattar351,Become high and nervous eyed
@mant7387,I love this show
@DanialStreetFighter,Sai shughal wala mahool hota hai iss show main.
@Medico4ever_,where is pujara ?
@arslansattar351,# england best in Australia.champuin trophy ğŸ† 2025 graph
@arslansattar351,They try a win out of it a plan change and they loss
@Maskman_indian,Who is watching ğŸ‘€ the show ( present ğŸ)ğŸ˜Š
@arslansattar351,They replace
@arslansattar351,Making an interest much become this afghan loss
@arslansattar351,R#emember the players and captain at mistakes
@NirmalSingh-df1wb,Jadeja wasim and waqar show brilliant when they speak punjabi
@arslansattar351,# score book ğŸ“– discusion and broad are handled most experience d
@arslansattar351,# opurtininy
@shubhanand2108,This show is a blessing â¤
@gurpindersingh9241,Day match is much better than night match.
@arslansattar351,Chances are completely open margins are 12 runs close wins
@maroofbutt2193,"Crazy Panel, can listen to them all day long ğŸ˜ğŸ˜ğŸ˜"
@LegendCj-xn5de,"Am i only one who noticed that  their analysis would shift on other topics rather than analysis of current match being played  
In prevoius year icc events panel analysis their analysis were subjective"
@arslansattar351,...and with six Africa dominate single handedly
@arslansattar351,Going with a four spins the Bangla they scrembled going with four fast Pakistan troubled going with medium pace Afghanistan nothing giving 320.320.320 on boards
@LegendCj-xn5de,Afghanistan marked their odi wc campaign from sl cwc 2015 much they gave fight to prime sl
@Diro_Nikhil,#AskTheRoom why is no one pulling Ajay legs he is the reigning king of JamNagar now :-)
@LegendCj-xn5de,Miss pujji sirâ¤â¤â¤
@burhansharif8473,All five are punjabiğŸ˜…ğŸ˜…
@razishafique3395,"The 4-panel team is absolutely on spot, breaking down the game with incredible depth and precision while keeping things fun and engaging. Their ability to balance serious cricket discussions with lighthearted banter makes it a must-watch. Great chemistry, top-notch insights, and a perfect mix of humorâ€”couldnâ€™t ask for more!â€"
@adipuranik2144,I am loving this show. This Channel is going to be HIT in this tournament
@arslansattar351,Front feeted and round arrow consist playing same the Australia .england is they also rely bating when at day disclick and away swing when you bowl dancing feet you get troubled
@LegendCj-xn5de,"Afghanistan's odi capability marked from sl match in cwc 2015 they gave tough fight to prime sl in cwc 2015 
That match marked arrival of Afghanistan team in icc events"
@raushanjha2845,YOU SHOULD CONTINUE JADEJA SIR IN YOUR SHOW â¤â¤â¤â¤â¤â¤â¤â¤
@raushanjha2845,JADEJA OPINION IS ALWAYS TO THE PIONT AND BASED ON FACT WAQAR CAN BETTER UNDERSTAND HIM 1996 WHAT A INNING I STILL REMEMBER AND GOOSE BUPS COME OUT JADEJA IS TRULY ALL ROUNDER IN WORLD CRICKET BCOZ HE IS BEST IN EVERY FIELDğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜„ğŸ˜„ğŸ˜„ğŸ˜„ğŸ˜„ğŸ˜„ğŸ˜„ğŸ˜„
@krishnakrishna2801,Fakar-e-alam nice representator
@arslansattar351,. Extra score evenly maters
@arslansattar351,They did not bowl away line they win and they bowl away stemp they lose they bowl on stemps ğŸ³ğŸ‘ they win
@arslansattar351,#Bating first win and bating second win bating first win mater pitch games and practices book win and lose study of a team /
@raushanjha2845,PAKISTANI PEOPLE TRULY SAY HIM GHANTEY KA KINGğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒğŸ˜ƒ
@arslansattar351,Maters the players records the ground record
@arslansattar351,One front win at one chase win again a one front win
@raushanjha2845,WASEEM BHAI SAD TO SAY BUT IT IS FACT THAT BABAR AND RIZWAN BOTH TOGETHER SPOIL THE PAKISTAN CRICKETâ¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤ğŸ’˜ğŸ’˜
@mshaz4801,"Great to see Ajay Jadeja. Ajay, Ganguly & Yuvraj always had huge pakistani fan base from old indian teams"
@arslansattar351,Across the line Afghanistan play and length bowling they are out on game and no where that's it
@ameenrulz,Misbah bhai ko lavo un k bina ye mehfil adhuri hai ğŸ˜¢ğŸ˜¢ğŸ˜¢
@arslansattar351,Difference is level mature of games. Newzelands and Africa
@arslansattar351,30 June 2020 and 22 February 2024 /
@arslansattar351,Makes situate again 0-0-0-0-0-0-0-0 at 100 again for teams
@arslansattar351,And england at best
@uk20241,Jaddu is my love ğŸ˜
@arslansattar351,Australia.england
@usmanpervaiz9133,6TH min waqar bhai
@arslansattar351,Makes Pakistan up Afghanistan 8 at charts table projected
@arslansattar351,+2 by Africa another+2 and Afghanistan out so need an impacts in game
@PriyaD-t5x,Misbah u r being missed greatly
@arslansattar351,Afghanistan loss mater it
@Abi-live,"TOO MUCH HINDI..... 
EXPECT ENGLISH AS WELL ... PLZZ I"
@harryboy3840,Why are you guys unnecessarily adding Indian â€œAnalysts â€œ in the show that use to be the best? Please donâ€™t do this to your loyal viewers ğŸ™
@NirmalKaur-x1k,Great paji Jeo Sarkar ji â¤
@RohitYadav-dx7yc,Khali koo leke aayo panel mee....â¤ï¸
@pranaliu6185,"W&W might be correct for a couple of players when they blame the lack of practice but when they complain about t20,they  sound like those uncles who whine about kids on computers not reading enough or when they were playing and  everyone said one dayers were killing test match bowling."
@jattgondal2242,"Chotha bnda sidhu le k ao.
4th one should be sidhu 
Fer vekho ae show kithay janda"
@kmprash,the way Afghan team playing they will get thrashed by England fast bowlers. dont see them scoring 200 runs against England.
@ravimishra-kg2sg,Who is watching in 2011
@nv_musicvibes0201,"Number of Teams  should be reduced to 6 instead of 8 , in Champions trophy and they should play round robin format..... Bangladesh and Afghanistan still looking like minnows and they don't fit into Champions category.... Secondly, ICC should consider merging Champions trophy with the world cup...20-12-6  knockout format and then with 6 teams round robin. ... Plenty of ICC events of world cup nature is spoiling enthusiasm  among public....We just saw a world cup , now again another one, in summer  WTC final, ufff ....something need to be done ... Only one World cup should be held with the maximum number of teams ."
@BravoBrave-bc7xg,Jadeja ke aane se panel me char chand lag gya ğŸ‘
@us4575,who is watching in 2029
@cricketovercovers,"Great show â¤
Missing the pavilion also"
@lovelyusama-t2u,who is watching 1975
@gaminggabro4187,Episode late upload huta ha??
@spacesight6453,Best panel
@sauravsen98,"Inclusion of Jadeja has made the show even better. Waqar, Wasim, Fakhar were always great. Please include Misbah as well."
@explorewithshahriar7114,"the only poor side of this show is, they discuss with one topic, on a sudden they start discussing another topic that happened in 1990. They even discussing about test matches played against bangladesh here. I mean no professionalisation.
The show should have been organized. No process."
@vikramsharma9726,Main bta nahi sakta ki kitna enjoy karta hn is show ko.. Aur jadeja ke aane se aur maja arha hai
@sandipanitiwary4891,What a downgrade from Pujara to Mr Spot Fixer!
@Robbie_jojo,Match Fixer jadeja jahil insaan bhi betha hai.desh ko bechne wala banda
@ViperMambo,"Match koi nu vi hon do, fakhr alam is the best."
@kabir9088,"à¤µà¤¸à¥€à¤® à¤¸à¤¾à¤¹à¤¬,  à¤²à¤—à¤¾à¤® à¤°à¤–à¤¾ à¤•à¤°à¥‹ à¤¥à¥‹à¤¡à¤¼à¥€,  à¤ªà¤¤à¤¾ à¤¹à¥ˆ à¤†à¤ªà¤•à¥‹ à¤¬à¤¹à¥à¤¤ à¤ªà¤¤à¤¾ à¤¹à¥ˆ,  à¤ªà¤° à¤¦à¥‚à¤¸à¤°à¥‡ à¤•à¥‡ à¤…à¤²à¥à¤«à¤¾à¤œà¤¼ à¤­à¥€ à¤¹à¤®à¤¾à¤°à¥‡ à¤•à¤¾à¤¨à¥‹ à¤®à¥‡ à¤ªà¤¡à¤¼à¤¨à¥‡ à¤¦à¥‡..........âœï¸"
@lagpi,Hell yea final episode lessgo
@Muaddibkhan,Thank you for uploading early
@MohdMuteeb-w9o,Who was waiting for full ep
@sukhpreetlamma,Love the way you guys speak Punjabi
@romiomalik1830,"Love to see all the panel â¤ Wasim Bhai love you so much , Just a little suggestion, Sachin and Kapil paa g ko b as a guest bula lein semi finals me"
@hasnainshahzad8993,"@askdpworld @askteam @asktheteam @askthedresingroom
""Shaheen, Naseem, and Haris have been crucial to the teamâ€™s success in the past, but if their performances aren't up to the mark, would you be open to seeing newer faces like Abbas Afridi or Waseem Junior get more chances in key matches? How important is it to keep a healthy competition for spots in the team, especially with young talent on the rise?"""
@Phanj-k8e,Who is watching in 2024
@imfrompakistan1108,ÙØ®Ø± Ø¨Ú¾Ø§Ø¦ÛŒ Ø§Ø³Ù„Ø§Ù… Ø¹Ù„ÛŒÚ©Ù… Ú©Û’ Ø³Ø§ØªÚ¾ Ø´Ùˆ Ø´Ø±ÙˆØ¹ Ú©ÛŒØ§ Ú©Ø±Ùˆ
@DeepikaAgarwall,"Ajay Jadeja, a gujju has a full on Punjabi accent going on wtf lol ğŸ˜…"
@niharmadhav9836,Yaar bahut wait karwate ho plz upload video jald se jald
@fahadsarwar2183,in first 10 comments khair misbah ko hona chaiye tha ... Also try to call Moin aswell
@DoDear-gw7sj,Jadeja â¤ï¸â¤ï¸ brilliant analysis
@Nishi547,Finally full episode uploaded
@AshishNayak83,ğŸ™ğŸ™ğŸ™to wasim akram sir.
@AshishNayak83,â¤â¤â¤
@LoveFan-vh2xs,â¤â¤â¤
@mayurkhairnar923,First Comment!
